feature,entropy_bits
C008,4.504693066779447
V0001,4.00533075397689
C001,2.6806529363846314
V0022,2.6806529363846314
A009010,1.9675778223027258
A003010,1.4123005796955945
C009,1.3943223948433756
A005010,1.3304923452298791
A004010,1.2857565750974442
A02306,1.2501378957493277
P00404,1.069602660535475
A002010,1.0612251699496462
C006,0.9999520347699528
P00104,0.9721511892618607
A02201,0.9386016398714816
P006,0.9363095994957417
P023,0.9154728905664585
P018,0.8940532499021765
P00901,0.8909563359956101
P01601,0.8748410400082042
P02501,0.8687000111434489
P01101,0.8511063762872373
P02002,0.8283338443749516
P013,0.8194807228762458
V0026,0.8191256368428131
A02305,0.6245854128298395
P02001,0.5731019210217037
P015,0.5166368511625457
A001,0.4588700067731495
P00622,0.39101591122423335
P00611,0.38539191186730926
P034,0.380660662001765
P02602,0.378318893727546
P00612,0.3767697195717338
P00609,0.37516271453301125
P00614,0.3450504820624386
P00605,0.3227452595955218
P00607,0.3184341191372343
P053,0.315204810088955
P00602,0.31178841371640065
P00621,0.288968196019579
P00618,0.2819873644171208
P00620,0.2803252594448984
A02307,0.2759359092308433
P00617,0.27483696073754293
P00608,0.2698184209190363
P00615,0.2588529228262204
P00610,0.24259303056559745
P00603,0.22612817800780527
P00619,0.21603414409244964
P068,0.20375324181112753
P00616,0.19524890192133318
P019,0.19141648419742574
P01001,0.1748322186861829
L01711,0.1703398570792558
L019,0.16813504158789544
L01705,0.16464932319184786
L01713,0.16028190351396732
L01701,0.16028190351396732
P00402,0.15435704930460692
L01708,0.13727734461042163
L01712,0.13660018540308727
L01710,0.13654370617255998
L01709,0.13205749929829244
P02401,0.12625977075915196
P050,0.12569095364050759
L01702,0.1253218851119003
P00623,0.11906085059372343
P00613,0.115267111641628
P00604,0.11131463904909347
P058,0.1094350953196258
L01706,0.10548909689656734
P00601,0.10334162269313274
P00102,0.1030953691392881
L01714,0.09681920941143425
L01707,0.074961204352524
L01704,0.07273344113087749
P05401,0.060737206749055514
L01715,0.052668620592026975
P02102,0.05258137145954353
P06701,0.051489969875018714
P05404,0.048334351750550814
P005,0.042284113555124896
L01703,0.032050330579528184
P02101,0.029356603801148105
P05416,0.02071692984278438
P05407,0.006986496853981134
P05413,0.0021048574889922433
P05410,0.002081087008427772
